p,fire_noh,fire_h
0.5,0.31712,0.18764000000000006
0.55,0.30223,0.1822600000000001
0.6,0.28352,0.17536000000000007
0.65,0.25786,0.16539
0.7,0.23433,0.15713000000000008
0.75,0.21091000000000001,0.14597000000000004
0.8,0.18362000000000003,0.13165
0.85,0.15771000000000002,0.11683000000000002
0.9,0.13082,0.09807999999999999
0.95,0.10367,0.07656999999999999
