p,gap_noh,gap_h
0.5,0.2649650000000001,0.12043018669000038
0.55,0.34592500000000004,0.023930180040000026
0.6,0.41182499999999966,0.08089482610999932
0.65,0.4854750000000001,0.17290483373999943
0.7,0.5472700000000004,0.27741484349999945
0.75,0.6335299999999997,0.37918985620999934
0.8,0.6965799999999995,0.47734486720999936
0.85,0.7621599999999997,0.5828098842900005
0.9,0.8282449999999995,0.6852649019899997
0.95,0.8869049999999998,0.785789922850002
