p,worker_noh,worker_h
0.5,1.60601,1.7682000000000004
0.55,1.6303199999999998,1.7779100000000005
0.6,1.6600999999999997,1.7868800000000007
0.65,1.68749,1.8000300000000007
0.7,1.7192199999999997,1.8132900000000007
0.75,1.7481000000000002,1.8292300000000006
0.8,1.7799300000000002,1.8464800000000006
0.85,1.8122700000000007,1.8629700000000002
0.9,1.8411,1.8834899999999997
0.95,1.87109,1.9056199999999994
