p,welfare_noh,welfare_h
0.5,3.476985,3.4159698133100003
0.55,3.606565,3.531889819960001
0.6,3.7320249999999993,3.6546548261100007
0.65,3.860455,3.7729648337400006
0.7,3.98571,3.903994843500001
0.75,4.12973,4.037649856210001
0.8,4.25644,4.1703048672100005
0.85,4.386700000000001,4.308749884290001
0.9,4.510444999999999,4.4522449019899994
0.95,4.629085,4.597029922850001
