p,fired_frac
0.5,0.18720000000000006
0.55,0.18216000000000002
0.6,0.17416
0.65,0.16484000000000007
0.7,0.15697000000000003
0.75,0.14508000000000001
0.8,0.13077
0.85,0.11562999999999998
0.9,0.09729999999999997
0.95,0.07642999999999998
