p,firm_profit,social_surplus
0.5,1.644885,3.4112400000000003
0.55,1.7491449999999997,3.52664
0.6,1.8651200000000006,3.6604900000000002
0.65,1.9725800000000002,3.785124999999999
0.7,2.089605,3.9021550000000005
0.75,2.2042949999999997,4.035135
0.8,2.32359,4.169065000000002
0.85,2.446155,4.31036
0.9,2.5701549999999997,4.451294999999999
0.95,2.6887799999999995,4.599435000000001
